iter	Passed	Remaining
0	2	2512
1	5	2619
2	7	2627
3	10	2671
4	13	2695
5	15	2637
6	18	2626
7	21	2630
8	23	2610
9	26	2614
10	29	2613
11	31	2613
12	34	2587
13	36	2584
14	39	2600
15	42	2600
16	44	2582
17	47	2568
18	49	2561
19	52	2548
20	54	2536
21	57	2534
22	59	2524
23	61	2506
24	64	2496
25	66	2496
26	68	2480
27	70	2442
28	73	2446
29	75	2440
30	78	2445
31	81	2451
32	83	2455
33	87	2479
34	89	2464
35	92	2475
36	95	2493
37	98	2501
38	101	2503
39	104	2501
40	106	2501
41	109	2492
42	111	2480
43	114	2477
44	116	2474
45	119	2473
46	122	2474
47	124	2473
48	127	2476
49	130	2473
50	132	2471
51	135	2465
52	138	2468
53	140	2462
54	143	2458
55	145	2451
56	147	2446
57	150	2440
58	152	2438
59	155	2434
60	157	2428
61	160	2427
62	163	2424
63	165	2420
64	168	2418
65	169	2399
66	172	2401
67	174	2396
68	177	2392
69	178	2374
70	181	2370
71	183	2366
72	186	2363
73	188	2362
74	191	2359
75	193	2356
76	196	2352
77	197	2333
78	199	2328
79	202	2326
80	204	2321
81	207	2321
82	209	2318
83	212	2319
84	215	2317
85	217	2313
86	220	2313
87	222	2309
88	225	2307
89	227	2304
90	230	2302
91	233	2303
92	236	2305
93	239	2305
94	241	2303
95	244	2304
96	247	2300
97	250	2301
98	252	2299
99	255	2298
100	257	2294
101	260	2295
102	263	2293
103	266	2293
104	268	2291
105	271	2289
106	274	2287
107	277	2290
108	280	2290
109	283	2289
110	285	2287
111	288	2285
112	290	2284
113	293	2282
114	296	2282
115	299	2279
116	301	2276
117	303	2272
118	306	2272
119	309	2269
120	312	2268
121	314	2265
122	317	2263
123	319	2255
124	321	2253
125	324	2250
126	327	2248
127	329	2246
128	332	2243
129	334	2241
130	337	2239
131	339	2230
132	342	2229
133	344	2226
134	347	2225
135	349	2221
136	352	2218
137	355	2217
138	357	2216
139	360	2214
140	362	2210
141	364	2204
142	367	2202
143	370	2199
144	372	2195
145	375	2195
146	377	2192
147	380	2188
148	382	2186
149	385	2183
150	387	2181
151	390	2177
152	392	2172
153	394	2169
154	397	2166
155	400	2164
156	402	2161
157	405	2158
158	407	2154
159	409	2149
160	411	2146
161	414	2142
162	416	2139
163	418	2135
164	421	2130
165	423	2127
166	425	2123
167	428	2121
168	430	2116
169	432	2112
170	435	2110
171	437	2106
172	440	2104
173	442	2102
174	445	2100
175	448	2098
176	450	2094
177	453	2092
178	454	2085
179	457	2082
180	459	2080
181	461	2076
182	464	2073
183	466	2069
184	469	2066
185	471	2062
186	474	2062
187	476	2059
188	479	2056
189	481	2054
190	484	2051
191	486	2047
192	489	2045
193	492	2044
194	494	2043
195	496	2038
196	499	2036
197	502	2033
198	504	2032
199	506	2027
200	509	2023
201	511	2021
202	514	2018
203	516	2014
204	518	2010
205	520	2006
206	523	2004
207	525	2000
208	527	1996
209	529	1992
210	531	1989
211	534	1986
212	536	1982
213	538	1978
214	541	1975
215	543	1972
216	545	1967
217	547	1964
218	550	1962
219	552	1960
220	555	1957
221	557	1955
222	560	1952
223	563	1951
224	565	1948
225	567	1945
226	570	1942
227	572	1939
228	575	1936
229	578	1935
230	580	1933
231	583	1930
232	585	1928
233	588	1925
234	590	1922
235	593	1921
236	595	1918
237	598	1917
238	600	1913
239	603	1910
240	605	1908
241	607	1903
242	610	1902
243	613	1899
244	615	1896
245	618	1894
246	620	1891
247	623	1889
248	625	1886
249	628	1884
250	630	1882
251	633	1880
252	635	1877
253	638	1874
254	640	1871
255	642	1868
256	645	1865
257	647	1861
258	649	1858
259	652	1855
260	654	1854
261	658	1853
262	660	1850
263	662	1848
264	665	1845
265	668	1843
266	670	1841
267	673	1839
268	675	1836
269	678	1834
270	681	1832
271	683	1828
272	685	1825
273	687	1822
274	690	1819
275	692	1817
276	695	1814
277	697	1811
278	699	1808
279	702	1805
280	704	1801
281	706	1798
282	708	1796
283	711	1793
284	713	1790
285	716	1787
286	718	1784
287	720	1782
288	723	1779
289	725	1776
290	727	1773
291	730	1770
292	732	1768
293	734	1763
294	736	1759
295	738	1756
296	740	1753
297	743	1750
298	745	1748
299	748	1745
300	750	1742
301	752	1739
302	754	1736
303	757	1733
304	759	1730
305	762	1728
306	764	1725
307	766	1722
308	769	1719
309	771	1716
310	773	1713
311	776	1711
312	778	1708
313	781	1706
314	783	1703
315	785	1700
316	788	1698
317	790	1695
318	792	1692
319	795	1689
320	797	1687
321	799	1683
322	801	1680
323	804	1677
324	806	1674
325	808	1672
326	811	1670
327	814	1668
328	817	1666
329	819	1664
330	822	1663
331	825	1661
332	828	1659
333	831	1657
334	834	1656
335	837	1654
336	840	1652
337	843	1651
338	846	1649
339	848	1647
340	851	1645
341	853	1642
342	856	1640
343	858	1637
344	860	1634
345	863	1631
346	865	1629
347	868	1627
348	871	1625
349	874	1623
350	876	1621
351	879	1619
352	882	1617
353	885	1615
354	888	1613
355	890	1611
356	893	1609
357	896	1606
358	898	1604
359	900	1601
360	903	1598
361	905	1595
362	907	1593
363	910	1590
364	912	1587
365	914	1584
366	917	1581
367	919	1578
368	921	1576
369	923	1573
370	926	1570
371	928	1568
372	931	1565
373	933	1562
374	935	1559
375	938	1556
376	940	1554
377	942	1551
378	945	1548
379	947	1546
380	950	1544
381	952	1541
382	955	1539
383	957	1536
384	959	1533
385	962	1530
386	964	1527
387	966	1524
388	968	1521
389	970	1517
390	972	1514
391	975	1512
392	976	1508
393	979	1506
394	981	1503
395	983	1500
396	985	1497
397	987	1494
398	990	1491
399	992	1488
400	994	1486
401	997	1483
402	999	1481
403	1002	1478
404	1004	1475
405	1006	1472
406	1009	1470
407	1011	1467
408	1013	1464
409	1016	1462
410	1018	1459
411	1020	1457
412	1023	1454
413	1025	1451
414	1027	1448
415	1029	1445
416	1032	1443
417	1034	1440
418	1036	1437
419	1039	1435
420	1041	1432
421	1043	1429
422	1045	1426
423	1048	1424
424	1051	1422
425	1053	1419
426	1055	1416
427	1058	1414
428	1060	1411
429	1063	1409
430	1065	1406
431	1068	1404
432	1071	1402
433	1073	1400
434	1075	1397
435	1078	1395
436	1080	1392
437	1083	1389
438	1085	1387
439	1087	1384
440	1090	1381
441	1092	1379
442	1094	1376
443	1097	1374
444	1099	1371
445	1102	1368
446	1104	1366
447	1106	1363
448	1109	1361
449	1111	1358
450	1114	1356
451	1116	1353
452	1118	1351
453	1121	1348
454	1123	1345
455	1126	1343
456	1128	1340
457	1131	1338
458	1133	1336
459	1136	1333
460	1138	1331
461	1140	1328
462	1143	1325
463	1145	1323
464	1147	1320
465	1150	1317
466	1152	1315
467	1154	1312
468	1156	1309
469	1159	1307
470	1161	1304
471	1163	1301
472	1166	1299
473	1168	1297
474	1171	1294
475	1174	1292
476	1176	1289
477	1179	1287
478	1181	1284
479	1184	1282
480	1186	1280
481	1188	1277
482	1191	1275
483	1194	1273
484	1197	1271
485	1200	1269
486	1202	1266
487	1205	1264
488	1208	1262
489	1211	1260
490	1214	1258
491	1216	1256
492	1219	1254
493	1222	1252
494	1225	1250
495	1228	1248
496	1231	1246
497	1234	1244
498	1237	1242
499	1239	1239
500	1242	1237
501	1246	1236
502	1249	1234
503	1252	1232
504	1255	1230
505	1258	1228
506	1261	1226
507	1264	1224
508	1267	1222
509	1270	1220
510	1273	1218
511	1276	1216
512	1279	1214
513	1281	1212
514	1284	1209
515	1287	1207
516	1290	1205
517	1293	1203
518	1296	1201
519	1299	1199
520	1302	1197
521	1305	1195
522	1307	1192
523	1310	1190
524	1313	1188
525	1316	1185
526	1318	1183
527	1321	1181
528	1324	1179
529	1326	1176
530	1329	1174
531	1332	1172
532	1335	1170
533	1338	1167
534	1341	1165
535	1344	1163
536	1346	1161
537	1349	1158
538	1352	1156
539	1354	1153
540	1357	1151
541	1359	1148
542	1361	1146
543	1364	1143
544	1366	1141
545	1369	1138
546	1371	1136
547	1374	1133
548	1377	1131
549	1379	1128
550	1382	1126
551	1385	1124
552	1388	1122
553	1390	1119
554	1393	1117
555	1396	1115
556	1399	1112
557	1401	1110
558	1404	1108
559	1407	1105
560	1409	1103
561	1412	1100
562	1414	1097
