gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,-0.4399164931309761,1,0,-1.2774445836787656,0,-1,1,0,1,0,0,0,0,0.08,1,2,-1.160322916034919,-0.9941940877241976,0
1,-0.4399164931309761,0,0,0.0663274190822359,1,0,1,1,0,1,1,0,0,1.0,0,0,-0.2596289419448806,-0.173739818250407,0
1,-0.4399164931309761,0,0,-1.2367242199587352,1,0,1,1,1,0,1,0,0,0.08,1,0,-0.3626603559551803,-0.9596491092068432,1
1,-0.4399164931309761,0,0,0.5142514200025698,0,-1,1,0,0,1,0,0,0,1.0,0,1,-0.7465354629935549,-0.1952477071740471,0
0,-0.4399164931309761,0,0,-1.2367242199587352,1,0,2,1,0,0,1,0,0,0.08,1,2,0.1973652331008032,-0.9404574544749796,1
0,-0.4399164931309761,0,0,-0.9924020376385532,1,1,2,1,0,1,1,1,1,0.08,1,2,1.1595456961969886,-0.6453692184426378,1
1,-0.4399164931309761,0,1,-0.4223169455581282,1,1,2,1,1,0,1,1,0,0.08,1,Credit card (automatic),0.8089065291619363,-0.1473126890908984,0
0,-0.4399164931309761,0,0,-0.9109613101984924,0,-1,1,0,0,0,0,0,0,0.08,0,0,-1.1636465100352518,-0.8741690378436583,0
0,-0.4399164931309761,1,0,-0.1779947632379461,1,1,2,1,0,1,1,1,1,0.08,1,2,1.330710787214099,0.3365155445113559,1
1,-0.4399164931309761,0,1,1.2064976032430856,1,0,1,1,1,0,1,0,0,1.0,0,1,-0.2862176939475387,0.5314762853391825,0
1,-0.4399164931309761,1,1,-0.7888002190384014,1,0,1,1,0,0,1,0,0,0.08,1,0,-0.4922805219681379,-0.7481879571842649,0
1,-0.4399164931309761,0,0,-0.6666391278783103,1,0,0,1,-1,-1,1,-1,-1,2.0,0,Credit card (automatic),-1.522594662071134,-0.8631834699626606,0
1,-0.4399164931309761,1,0,1.0436161483629645,1,1,2,1,0,1,1,1,1,1.0,0,Credit card (automatic),1.182810854199314,1.4990665744239264,0
1,-0.4399164931309761,0,0,0.6771328748826912,1,1,2,1,1,1,1,1,1,0.08,1,1,1.2941512532104444,1.2145888969272467,1
1,-0.4399164931309761,0,0,-0.3001558543980371,1,0,2,1,0,1,1,1,1,0.08,1,2,1.3539759452164248,0.1776880570752445,0
0,-0.4399164931309761,1,1,1.4915401492832985,1,1,2,1,1,1,1,1,1,2.0,0,Credit card (automatic),1.611554480242174,2.475877681529266,0
0,-0.4399164931309761,0,0,0.7992939660427822,1,0,0,1,-1,-1,1,-1,-1,1.0,0,0,-1.4660935640654862,-0.5560508161330802,0
1,-0.4399164931309761,0,1,1.5729808767233588,1,1,2,1,0,1,1,1,1,2.0,0,1,1.393859073220412,2.249592630679317,0
0,-0.4399164931309761,1,1,-0.9109613101984924,1,0,1,1,0,1,1,0,0,0.08,0,Credit card (automatic),-0.3177918369506949,-0.7742621363716933,1
0,-0.4399164931309761,0,0,-0.4630373092781585,1,0,2,1,1,1,1,0,1,0.08,1,2,0.8404806721650927,-0.1854754048220752,0
1,2.273158691738958,0,0,-1.2774445836787656,0,-1,1,0,0,1,0,0,1,0.08,1,2,-0.8346107040023594,-0.9898704505662144,1
1,-0.4399164931309761,1,0,-0.8295205827584317,1,0,0,1,-1,-1,1,-1,-1,1.0,0,1,-1.4943441130683104,-0.918133368740904,0
1,-0.4399164931309761,0,0,-1.2774445836787656,1,0,0,1,-1,-1,1,-1,-1,0.08,0,0,-1.4827115340671475,-0.9984736061356704,1
0,-0.4399164931309761,1,0,1.0436161483629645,1,1,1,1,1,0,1,0,0,2.0,1,Credit card (automatic),-0.1615829189350795,0.5390426503656528,0
1,-0.4399164931309761,1,1,0.6771328748826912,1,0,1,1,1,0,1,0,0,0.08,0,Credit card (automatic),-0.1715537009360761,0.3030955940300074,0
0,-0.4399164931309761,0,0,-0.0965540357978854,1,0,1,1,1,0,1,0,0,0.08,1,1,-0.3144682429503628,-0.3320819994749081,0
1,-0.4399164931309761,1,1,0.5956921474426305,1,1,2,1,1,0,1,1,1,0.08,1,2,1.1495749141959914,1.0879019163236927,1
1,-0.4399164931309761,1,1,-1.2774445836787656,0,-1,1,0,1,0,0,0,0,0.08,0,2,-1.1486903370337564,-0.9940396721114124,1
1,-0.4399164931309761,1,0,1.6137012404433893,1,1,1,1,1,1,1,1,1,2.0,1,Credit card (automatic),0.8471278601657574,1.802757966025724,0
0,-0.4399164931309761,0,1,-0.62591876415828,1,0,1,1,0,0,1,1,1,0.08,1,0,-0.0020504069191315,-0.5251015154562935,1
0,2.273158691738958,1,0,1.5729808767233588,1,1,2,1,1,1,1,0,0,2.0,1,Credit card (automatic),1.0498670941860242,1.9781299834030968,0
1,2.273158691738958,1,0,-1.2367242199587352,1,0,2,1,0,1,1,1,1,0.08,1,Credit card (automatic),1.0216165451832002,-0.9272218305219704,0
0,-0.4399164931309761,1,1,-0.2187151269579764,1,0,1,1,1,1,1,0,0,1.0,0,0,0.0461417060856861,-0.1803796896001666,0
1,-0.4399164931309761,0,0,-1.2774445836787656,1,0,0,1,-1,-1,1,-1,-1,0.08,0,1,-1.481049737066981,-0.9984515467624157,0
1,2.273158691738958,0,0,-1.2774445836787656,1,0,1,1,0,0,1,0,0,0.08,0,1,-0.6484894399837535,-0.9873998007616528,0
0,-0.4399164931309761,1,1,1.6137012404433893,1,1,2,1,1,0,1,1,0,2.0,0,1,1.1678546811978192,2.191995607110472,0
1,-0.4399164931309761,0,0,-1.1145631287986442,1,0,2,1,0,0,1,0,0,0.08,1,2,0.1641292930974807,-0.8675512258671536,1
0,-0.4399164931309761,0,0,0.5549717837226001,1,0,2,1,0,1,1,0,0,0.08,1,Credit card (automatic),0.3336325871144251,0.5581019488579864,0
1,-0.4399164931309761,0,0,0.0663274190822359,1,1,2,1,1,1,1,1,1,0.08,1,2,1.3822264942192488,0.5585210769498316,1
0,-0.4399164931309761,0,0,-0.8702409464784621,1,1,2,1,0,1,1,1,1,0.08,1,1,1.099721004191008,-0.5196749096355596,1
1,-0.4399164931309761,1,1,-0.9109613101984924,1,0,1,1,1,0,1,0,0,1.0,0,0,-0.5055748979694671,-0.7974906564092245,0
0,-0.4399164931309761,1,1,1.5322605130033284,1,1,1,1,1,0,1,1,0,2.0,1,Credit card (automatic),0.1475113230958195,1.1422562120240511,0
0,-0.4399164931309761,1,1,-0.62591876415828,1,0,0,1,-1,-1,1,-1,-1,1.0,0,0,-1.462769970065154,-0.8228368762792373,0
0,-0.4399164931309761,0,0,1.247217966963116,1,1,1,1,1,1,1,1,0,2.0,1,Credit card (automatic),0.5014740841312035,1.1374472686544574,0
0,-0.4399164931309761,1,0,-0.7888002190384014,1,1,1,1,1,0,1,1,0,0.08,1,2,0.3801629031190768,-0.574360095934743,0
0,-0.4399164931309761,0,0,0.6771328748826912,1,1,2,1,0,0,1,0,1,0.08,1,2,0.6560212051466532,0.7162235363499371,0
1,-0.4399164931309761,0,0,-1.2367242199587352,1,0,1,1,1,0,1,0,0,0.08,0,0,-0.5155456799704636,-0.9645683494427116,0
0,-0.4399164931309761,0,0,-1.2367242199587352,1,0,2,1,0,0,1,1,0,0.08,1,2,0.5280628361338618,-0.943766360463232,1
1,-0.4399164931309761,0,0,0.7992939660427822,1,1,1,1,0,0,1,1,1,2.0,1,Credit card (automatic),0.4981504901308714,0.8534769567426435,0
0,-0.4399164931309761,1,1,1.4915401492832985,1,1,1,1,0,1,1,0,0,2.0,1,Credit card (automatic),-0.0203301739209587,0.8694920617257849,0
0,2.273158691738958,0,0,0.4328106925625091,1,1,2,1,1,0,1,1,0,0.08,1,2,0.8471278601657574,0.6862448480963711,0
